ID,RA[hr],Dec[deg],dist[pc],rhm[pc],mass[Msun],age[Myr],[Fe/H],sigma_v0_z[km/s],OpSimID,OpSimRA[deg],OpSimDec[deg]
Dutra-Cl_Bica_13,17 55 20.000,-29 23 18.000,1698.0,3.207156305224554,12.5,7.943282347242823,-0.4974174718196457,0.0567528119377204,1304.0,270.044797,-30.452773
ESO_425-15,06 14 40.000,-29 22 48.000,1070.0,0.8857045489947654,8.5,1011.5794542599003,-0.4974174718196457,0.08905482742165097,1323.0,93.107848,-29.966329
[KPS2012]_MWSC_5668,06 19 32.000,-29 21 54.000,2141.0,3.207156305224554,16.5,794.3282347242822,-0.4974174718196457,0.06520401670868523,1333.0,96.217234,-29.407584
Terzan-Ju_20,17 33 30.000,-29 19 24.000,2879.0,5.8308882808822045,55.5,630.9573444801944,-0.4974174718196457,0.08868937051644948,1332.0,263.782766,-29.407584
[KPS2012]_MWSC_1392,07 58 00.000,-29 17 00.000,4499.0,8.11895836578535,20.0,309.0295432513592,-0.4974174718196457,0.04511877312901348,1335.0,119.782774,-29.40758
Cl_Ruprecht_131,17 49 12.000,-29 14 06.000,607.0,1.6422438512611277,11.635303731715693,1111.6237911261553,-0.4974174718196457,0.07651780111308898,1322.0,266.892152,-29.966329
[KPS2012]_MWSC_1314,07 42 13.000,-29 13 48.000,4712.0,2.9338963185451608,12.5,758.5775750291851,-0.4974174718196457,0.05933692913898439,1363.0,116.714789,-28.778643
ESO_425-6,06 04 52.000,-29 11 06.000,1077.0,0.8303480146825926,8.0,2511.886431509582,-0.4974174718196457,0.08922927387173392,1305.0,89.955203,-30.452773
C_0727-291,07 29 18.000,-29 11 00.000,1609.0,0.9041567270988228,12.833333333333336,1071.5193052376046,-0.4974174718196457,0.1083029583047468,1317.0,111.217914,-30.352921
C_0822-289,08 24 12.000,-29 10 12.000,2187.0,1.1809393986596872,16.0,822.2426499470696,-0.4974174718196457,0.10581290227411136,1303.0,126.044736,-30.452774
ESO_436-2,10 13 57.000,-29 10 06.000,1370.0,1.1071306862434571,15.0,1258.9254117941662,-0.4974174718196457,0.10581290227411136,1389.0,153.615102,-28.547365
C_1730-293,17 33 20.000,-29 09 54.000,1215.0,2.324974441111259,24.0,15.848931924611142,-0.4974174718196457,0.09236107317601529,1332.0,263.782766,-29.407584
Dutra-Cl_Bica_24,17 55 25.000,-29 02 42.000,2295.0,3.207156305224554,27.5,794.3282347242822,-0.4974174718196457,0.08417802360618934,1430.0,269.009172,-27.438929
[KPS2012]_MWSC_1448,08 12 02.880,-28 59 09.600,4642.7,1.5263206190703025,14.0,1603.245390690042,-0.4974174718196457,0.08706298906965891,1325.0,122.89208,-29.966322
[KPS2012]_MWSC_5299,15 41 53.000,-29 00 00.000,4473.0,3.207156305224554,18.5,2511.886431509582,-0.4974174718196457,0.06904277558876544,1422.0,234.990876,-27.438948
[KPS2012]_MWSC_1167,07 18 02.000,-28 59 24.000,3066.0,6.3290970896917615,19.5,1230.268770812381,-0.4974174718196457,0.05045902654509354,1346.0,108.00003,-28.996485
ESO_435-9,09 55 28.000,-28 57 54.000,2255.0,5.129705512928017,24.0,266.0725059798814,-0.4974174718196457,0.06218016141375174,1381.0,150.427013,-28.759814
