ID,RA[hr],Dec[deg],dist[pc],rhm[pc],mass[Msun],age[Myr],[Fe/H],sigma_v0_z[km/s],OpSimID,OpSimRA[deg],OpSimDec[deg]
NGC 6715,18 55 03.33,-30 28 47.5,26500.0,6.321000894185524,1774312.0240759237,9874.999999999998,-1.49,10.5,1254.0,283.032991,-31.621145
NGC 6717,18 55 06.04,-22 42 05.3,7100.0,1.4044082897545913,33191.73814875126,12226.190476190475,-1.26,4.419373903238327,1584.0,284.906383,-23.339201
NGC 6723,18 59 33.15,-36 37 56.1,8700.0,3.872013201202292,244923.2398530103,12226.190476190475,-1.1,7.230012102937728,1035.0,286.225198,-37.272546
NGC 6749,19 05 15.3,+01 54 03,7900.0,2.52781861957561,86502.76620700178,11081.82198660714,-1.6,5.317830428503853,2771.0,284.812769,2.688042
NGC 6752,19 10 52.11,-59 59 04.4,4000.0,2.222386142880352,223372.6495561127,10815.476190476187,-1.54,4.9,319.0,288.00006,-61.126877
NGC 6760,19 11 12.01,+01 01 49.7,7400.0,2.7337675094059755,247189.48668890237,11081.82198660714,-0.4,8.644236694615257,2765.0,287.999985,2.635102
NGC 6779,19 16 35.57,+30 11 00.5,9400.0,3.0077841802545233,166352.75422053452,12461.309523809525,-1.98,4.0,3947.0,288.00003,28.996485
Terzan 7,19 17 43.92,-34 39 27.8,22800.0,5.1068334767366395,18240.216787118214,5995.535714285714,-0.32,1.7180333525760079,1132.0,287.999974,-34.503127
Pal 10,19 18 02.1,+18 34 18,5900.0,1.6990780737858464,37413.64280731604,11081.82198660714,-0.1,4.265802763325519,3517.0,289.695852,19.534528
Arp 2,19 28 44.11,-30 21 20.3,28600.0,14.725344200272925,23606.412713034595,9992.559523809523,-1.75,1.1509983774761912,1256.0,292.966998,-31.621143
NGC 6809,19 39 59.71,-30 57 53.1,5400.0,4.445354609006583,192765.8047247945,11285.714285714284,-1.94,4.0,1268.0,296.260033,-31.450913
Terzan 8,19 41 44.41,-33 59 58.1,26300.0,7.267842078518141,19276.580472479433,11168.15476190476,-2.16,1.4804873398327059,1153.0,294.824715,-34.332462
Pal 11,19 45 14.4,-08 00 26,13400.0,5.6909372564892875,105932.68877833162,11081.82198660714,-0.4,3.922071803081701,2335.0,297.284472,-7.027572
