,Name,RA,Dec,dist[kpc],rh[pc],r_c,mass[Msun],Age,Z,sigma_v[km/s],sigma_source,OpSim ID,OpSim RA,OpSim Dec,Source Flag,Cluster Type,dist flag,Age flag,Z flag
909,Basel_5,268.11249999999995,-30.1,0.766,1.5390000000000001,,97.49896377173872,8870.0,0.12948683975691416,0.22940954130905067,rh,1322.0,266.89215087890597,-29.9663,W,O,,A,Z
910,NGC_2423,114.27499999999999,-13.871666666666668,0.766,2.396,,480.8393484497285,8867.0,0.14,0.40830752094851186,rh,2054.0,114.54773712158199,-12.6976,W,O,,A,Z
911,NGC_2548,123.42916666666665,-5.75,0.769,4.685,,1111.731727281592,8557.0,0.08,0.44399286279425465,rh,2370.0,122.28539276123001,-5.98425,W,O,,A,Z
912,NGC_6940,308.6083333333333,28.283333333333335,0.77,2.282,,363.0780547701014,8857.999999999996,0.01,0.36355738121129033,rh,3878.0,308.09820556640597,27.8835,W,O,,A,Z
913,Ruprecht_145,282.6416666666666,-18.21972222222222,0.77,-9.999,,389.04514499428046,8640.0,-0.127,0.1941211986374423,rh*,1836.0,281.907348632812,-17.7388,W,O,,A,Z
914,NGC_1027,40.666666666666664,61.595,0.772,1.7730000000000001,,108.39269140212039,8203.0,-0.03644028246935587,0.225359784496867,rh,4969.0,42.488716125488295,61.011,W,O,,A,Z
915,NGC_2925,143.29583333333332,-53.39833333333333,0.774,1.662,,225.94357702209783,7850.0,0.06,0.33605880346659556,rh,515.0,141.45388793945298,-53.4706,W,O,,A,Z
916,NGC_1528,63.845833333333324,51.215,0.776,2.617,,483.05880203977233,8568.0,0.34008871232916943,0.39158759473855625,rh,4709.0,63.136058807373,50.8599,W,O,,A,Z
917,NGC_6425,266.75416666666666,-31.529999999999998,0.778,1.733,,25.40972705549305,7347.0,0.09,0.1103650349414517,rh,1322.0,266.89215087890597,-29.9663,W,O,,A,Z
918,Ruprecht_164,172.70833333333331,-60.72972222222222,0.78,1.859,,41.97589839910078,9000.0,-0.4735303960349252,0.13695916248286844,rh,337.0,174.247009277344,-60.9812,W,O,,A,Z
919,NGC_6716,283.6416666666666,-19.901666666666664,0.789,0.971,,28.575905433749465,7961.0,-0.31,0.156358383379002,rh,1711.0,283.40875244140597,-20.5353,W,O,,A,Z
920,NGC_7160,328.41666666666663,62.60333333333333,0.789,1.631,,104.47202192208003,7278.0,0.16,0.23067674040884206,rh,5020.0,327.55889892578097,63.5784,W,O,,A,Z
921,Alessi_1,13.362499999999997,49.569722222222225,0.8,-9.999,,325.0872973854344,8850.0,-0.3795612183702916,0.24551600260236944,rh*,4647.0,12.7929744720459,48.9666,W,O,,A,Z
922,ASCC_13,78.32916666666665,44.580000000000005,0.8,8.323,,2488.857318282393,7710.0,-0.3806153907732207,0.4984146959290315,rh,4524.0,79.97930908203121,45.2779,W,O,,A,Z
